roll,pitch,yaw
-0.191141,-0.165867,-2.01337
-0.133704,-0.161039,-2.00372
-0.0756146,-0.144173,-1.95139
-0.0431032,-0.121844,-1.82804
-0.0561264,-0.132006,-1.66563
-0.0571177,-0.164205,-1.56445
-0.0569851,-0.191543,-1.5268
-0.0468429,-0.203603,-1.53207
-0.0352667,-0.206929,-1.54469
-0.0446763,-0.201235,-1.54242
-0.102691,-0.128218,-1.50747
-0.155873,0.142158,-1.47655
-0.11182,0.43865,-1.52216
-0.0685564,0.538362,-1.48089
-0.0643932,0.544272,-1.52007
-0.0900226,0.489043,-1.53113
-0.110713,0.362643,-1.56051
-0.111922,0.192365,-1.55275
-0.149861,-0.0406161,-1.52638
-0.2048,-0.287726,-1.48922
-0.186289,-0.464256,-1.50497
-0.182479,-0.576065,-1.47399
-0.276531,-0.690234,-1.34909
-0.616916,-0.795157,-1.05602
-0.874164,-0.838433,-0.810977
-0.960825,-0.842569,-0.640491
-1.17686,-0.786206,-0.336923
-1.31178,-0.652296,-0.0328593
-1.30921,-0.564927,0.138969
-1.24822,-0.533073,0.246494
-1.19031,-0.511468,0.290823
-1.14189,-0.483234,0.327699
-1.07597,-0.461286,0.27345
-1.03543,-0.54384,0.11442
-0.933261,-0.618697,-0.132068
-0.800911,-0.676638,-0.390409
-0.592503,-0.715709,-0.717191
-0.315856,-0.674973,-1.09762
-0.0555873,-0.542603,-1.46557
0.0922465,-0.409215,-1.75163
0.124428,-0.348704,-1.92854
0.139395,-0.275407,-2.09209
0.176441,-0.225858,-2.30627
0.179856,-0.209521,-2.46739
0.155055,-0.181854,-2.56938
0.0866624,-0.116247,-2.56717
0.0432806,-0.0915694,-2.54185
0.010777,-0.0734928,-2.51937
0.0147904,-0.0430467,-2.48182
0.0301105,-0.0240106,-2.37612
0.0515419,0.0162947,-2.21197
0.102932,0.0537354,-1.99855
0.123311,0.0376695,-1.74898
0.112148,-0.00403793,-1.49637
0.108417,-0.068578,-1.27887
0.10263,-0.121195,-1.09888
0.0562011,-0.184217,-0.933615
-0.00235654,-0.239714,-0.832278
-0.05073,-0.290994,-0.747478
-0.152816,-0.351872,-0.591344
-0.300325,-0.403188,-0.391091
-0.441183,-0.401838,-0.224752
-0.509348,-0.403633,-0.186397
-0.523776,-0.410534,-0.24789
-0.521298,-0.428549,-0.370781
-0.487841,-0.454349,-0.547158
-0.364451,-0.452498,-0.804054
-0.265658,-0.3922,-1.12141
-0.15192,-0.257358,-1.46245
-0.0731824,-0.0670962,-1.765
0.00653586,0.0810416,-1.88611
0.0161012,0.101558,-1.76758
0.00743666,0.0994136,-1.67584
0.0413024,0.134995,-1.70801
0.0553464,0.159103,-1.75266
0.085096,0.193352,-1.78077
0.131505,0.246518,-1.84109
0.149647,0.266738,-1.88311
0.173592,0.251117,-1.81327
0.183717,0.145762,-1.61155
0.152504,-0.0285983,-1.32237
0.0141691,-0.227939,-0.968942
-0.189523,-0.356699,-0.623691
-0.296308,-0.441141,-0.428275
-0.200716,-0.440141,-0.474539
-0.0868303,-0.420981,-0.582704
-0.0793311,-0.410892,-0.623917
-0.0375267,-0.377709,-0.70028
0.033657,-0.327366,-0.860103
0.165515,-0.211731,-1.12233
0.227251,-0.0513371,-1.39165
0.219914,0.11312,-1.63424
0.206507,0.246251,-1.79243
0.251778,0.290749,-1.91838
0.218884,0.356195,-2.03063
0.165468,0.356336,-2.0736
0.0802689,0.276351,-1.98466
0.0429564,0.140466,-1.88183
0.158094,0.064878,-1.8216
0.219264,-0.0333871,-1.7822
0.26894,-0.138554,-1.71675
0.311079,-0.179647,-1.65082
0.27163,-0.127016,-1.60345
0.200277,-0.120904,-1.58746
0.147175,-0.102135,-1.55393
0.10314,-0.113906,-1.5457
0.0547499,-0.124797,-1.51531
-0.015476,-0.13595,-1.42479
-0.0652349,-0.152721,-1.34961
-0.073643,-0.17153,-1.34846
-0.0504973,-0.167062,-1.35743
-0.0521955,-0.169334,-1.3819
-0.0495547,-0.169165,-1.41972
-0.0370675,-0.163504,-1.44219
-0.0212947,-0.157436,-1.4482
0.00716865,-0.155299,-1.45343
0.0317933,-0.150895,-1.45057
